,LVS,THA,OOS,PLF,CIS,KLG,SYO,JHU,UYZ,BZC
2020-09-03 21:00:00,275.18,496.21,134.86,145.15,185.34,153.31,229.04,284.28,234.46,215.99
2020-09-06 21:00:00,273.26,496.21,134.39,145.15,185.14,153.45,229.13,284.28,234.57,215.38
2020-09-07 21:00:00,273.39,496.21,134.34,145.11,176.71,157.81,230.82,284.28,235.73,215.28
2020-09-08 21:00:00,273.36,493.87,138.04,145.37,181.48,156.23,230.68,284.56,238.59,215.86
2020-09-09 21:00:00,276.78,499.14,138.01,145.56,169.65,155.59,228.78,283.54,238.65,215.67
2020-09-10 21:00:00,276.04,497.17,136.62,146.43,166.54,155.59,227.6,283.54,237.79,214.24
2020-09-13 21:00:00,273.28,497.17,137.1,146.43,166.54,154.82,229.8,283.7,238.07,214.58
2020-09-14 21:00:00,271.85,497.17,136.48,146.61,166.54,155.15,231.74,283.58,239.09,214.57
2020-09-15 21:00:00,271.22,490.33,136.23,147.12,165.32,155.86,229.51,283.08,239.09,214.75
2020-09-16 21:00:00,264.43,490.94,136.62,147.12,165.67,155.05,231.51,283.19,237.26,213.13
2020-09-17 21:00:00,265.36,490.94,136.45,147.33,165.31,155.83,232.97,283.19,238.58,213.0
2020-09-20 21:00:00,265.75,490.94,135.92,147.33,165.5,155.8,232.33,283.19,242.64,217.97
2020-09-21 21:00:00,266.45,496.72,135.6,147.76,165.5,157.34,230.56,283.19,243.17,218.28
2020-09-22 21:00:00,266.08,500.56,134.28,147.84,165.5,157.34,233.3,283.19,240.62,218.08
2020-09-23 21:00:00,265.5,500.71,131.95,147.84,165.85,157.29,232.29,283.19,241.7,217.73
2020-09-24 21:00:00,265.39,501.16,132.19,147.84,165.85,157.31,231.21,283.19,242.92,217.6
2020-09-27 21:00:00,264.99,501.16,135.89,147.84,166.07,157.42,233.7,283.19,243.39,217.92
2020-09-28 21:00:00,264.83,501.16,136.85,148.96,166.07,159.15,233.29,283.19,244.02,218.24
2020-09-29 21:00:00,264.83,501.16,135.55,148.96,166.07,158.01,233.39,283.19,243.62,217.61
2020-09-30 21:00:00,264.69,501.16,135.02,148.96,165.67,158.01,235.59,283.19,243.62,217.34
2020-10-01 21:00:00,264.22,501.16,134.88,148.96,165.67,158.01,233.47,283.19,243.32,216.36
2020-10-04 21:00:00,263.78,501.16,134.78,148.96,165.67,158.09,232.88,283.19,243.32,216.19
