,LVS,THA,OOS,PLF,CIS,KLG,SYO,JHU,UYZ,BZC
LVS,1.0,-0.26211662067840474,0.36914882162841206,-0.8747488091925318,0.6084937647262422,-0.6443688644996514,-0.845796100863517,0.7381525647256346,-0.7700777780230099,-0.4459176787334072
THA,-0.26211662067840474,1.0,-0.4036565476232972,0.48087859569109753,-0.17987964940091133,0.5763345999299102,0.38703386911686494,-0.20178449540924714,0.5285675399863405,0.6051859727759704
OOS,0.36914882162841206,-0.4036565476232972,1.0,-0.24946963583047718,0.008668113501264086,-0.24033647088587362,-0.23455356313050799,0.15964179308212056,-0.17935214649511333,-0.410181737737862
PLF,-0.8747488091925318,0.48087859569109753,-0.24946963583047718,1.0,-0.7510203182086621,0.7490916364595105,0.7770051724614352,-0.8349969432110224,0.8966618522560758,0.49106019686387414
CIS,0.6084937647262422,-0.17987964940091133,0.008668113501264086,-0.7510203182086621,1.0,-0.5307048454725393,-0.4690152223827062,0.9225477619349127,-0.6977582068693153,-0.15940563213235256
KLG,-0.6443688644996514,0.5763345999299102,-0.24033647088587362,0.7490916364595105,-0.5307048454725393,1.0,0.6836443215809919,-0.5037206574224923,0.8043939368808806,0.5904701166010847
SYO,-0.845796100863517,0.38703386911686494,-0.23455356313050799,0.7770051724614352,-0.4690152223827062,0.6836443215809919,1.0,-0.5282404585465204,0.7122586013529937,0.45232209211886476
JHU,0.7381525647256346,-0.20178449540924714,0.15964179308212056,-0.8349969432110224,0.9225477619349127,-0.5037206574224923,-0.5282404585465204,1.0,-0.7374518738408504,-0.28584690479025765
UYZ,-0.7700777780230099,0.5285675399863405,-0.17935214649511333,0.8966618522560758,-0.6977582068693153,0.8043939368808806,0.7122586013529937,-0.7374518738408504,1.0,0.7008142264046489
BZC,-0.4459176787334072,0.6051859727759704,-0.410181737737862,0.49106019686387414,-0.15940563213235256,0.5904701166010847,0.45232209211886476,-0.28584690479025765,0.7008142264046489,1.0
