,THA,THA_returns
2018-09-30 21:00:00,363.02,0.0
2018-10-01 21:00:00,363.02,0.0
2018-10-02 21:00:00,363.02,0.0
2018-10-03 21:00:00,363.02,0.0
2018-10-04 21:00:00,364.87,0.005083196591500121
2018-10-07 21:00:00,364.87,0.0
2018-10-08 21:00:00,364.87,0.0
2018-10-09 21:00:00,367.57,0.007372650947749694
2018-10-10 21:00:00,367.24,0.0
2018-10-11 21:00:00,367.24,0.0
2018-10-14 21:00:00,367.24,0.0
2018-10-15 21:00:00,367.24,0.0
2018-10-16 21:00:00,367.24,0.0
2018-10-17 21:00:00,367.24,0.0
2018-10-18 21:00:00,365.15,0.0
2018-10-21 21:00:00,365.15,0.0
2018-10-22 21:00:00,365.15,0.0
2018-10-23 21:00:00,367.45,0.00627902690876159
2018-10-24 21:00:00,370.56,0.008428119969695584
2018-10-25 21:00:00,370.56,0.0
2018-10-28 21:00:00,370.56,0.0
2018-10-29 21:00:00,370.56,0.0
2018-10-30 21:00:00,369.31,0.0
2018-10-31 21:00:00,367.9,0.0
2018-11-01 21:00:00,366.76,0.0
2018-11-04 22:00:00,366.76,0.0
2018-11-05 22:00:00,366.76,0.0
2018-11-06 22:00:00,365.19,0.0
2018-11-07 22:00:00,365.08,0.0
2018-11-08 22:00:00,364.28,0.0
2018-11-11 22:00:00,364.28,0.0
2018-11-12 22:00:00,364.28,0.0
2018-11-13 22:00:00,363.81,0.0
2018-11-14 22:00:00,363.81,0.0
2018-11-15 22:00:00,363.81,0.0
2018-11-18 22:00:00,363.81,0.0
2018-11-19 22:00:00,363.81,0.0
2018-11-20 22:00:00,363.81,0.0
2018-11-21 22:00:00,363.81,0.0
2018-11-22 22:00:00,361.47,0.0
2018-11-25 22:00:00,361.47,0.0
2018-11-26 22:00:00,361.47,0.0
2018-11-27 22:00:00,358.33,0.0
2018-11-28 22:00:00,358.33,0.0
2018-11-29 22:00:00,358.33,0.0
2018-12-02 22:00:00,358.33,0.0
2018-12-03 22:00:00,358.33,0.0
2018-12-04 22:00:00,365.15,0.018853878541313502
2018-12-05 22:00:00,371.24,0.016540525661073485
2018-12-06 22:00:00,365.55,0.0
2018-12-09 22:00:00,365.55,0.0
2018-12-10 22:00:00,365.55,0.0
2018-12-11 22:00:00,368.47,0.007956228449813653
2018-12-12 22:00:00,363.27,0.0
2018-12-13 22:00:00,367.61,0.011876234159185178
2018-12-16 22:00:00,367.61,0.0
2018-12-17 22:00:00,367.61,0.0
2018-12-18 22:00:00,366.0,0.0
2018-12-19 22:00:00,365.03,0.0
2018-12-20 22:00:00,365.03,0.0
2018-12-23 22:00:00,365.03,0.0
2018-12-25 22:00:00,365.03,0.0
2018-12-26 22:00:00,365.03,0.0
2018-12-27 22:00:00,365.03,0.0
2018-12-30 22:00:00,365.03,0.0
2019-01-01 22:00:00,365.03,0.0
2019-01-02 22:00:00,365.03,0.0
2019-01-03 22:00:00,365.13,0.0002739125688211689
2019-01-06 22:00:00,365.13,0.0
2019-01-07 22:00:00,365.13,0.0
2019-01-08 22:00:00,362.23,0.0
2019-01-09 22:00:00,362.23,0.0
2019-01-10 22:00:00,362.23,0.0
2019-01-13 22:00:00,362.23,0.0
2019-01-14 22:00:00,362.23,0.0
2019-01-15 22:00:00,362.23,0.0
2019-01-16 22:00:00,362.23,0.0
2019-01-17 22:00:00,362.23,0.0
2019-01-20 22:00:00,362.23,0.0
2019-01-21 22:00:00,362.23,0.0
2019-01-22 22:00:00,362.23,0.0
2019-01-23 22:00:00,370.26,0.021926092374387023
2019-01-24 22:00:00,361.34,0.0
2019-01-27 22:00:00,361.34,0.0
2019-01-28 22:00:00,361.34,0.0
2019-01-29 22:00:00,373.74,0.03374102514832818
2019-01-30 22:00:00,375.63,0.005044247854856848
2019-01-31 22:00:00,375.54,0.0
2019-02-03 22:00:00,375.54,0.0
2019-02-04 22:00:00,377.71,0.0057617152424463075
2019-02-05 22:00:00,384.16,0.016932427065831736
2019-02-06 22:00:00,385.66,0.003897019818515804
2019-02-07 22:00:00,385.39,0.0
2019-02-10 22:00:00,386.57,0.0030571556014375944
2019-02-11 22:00:00,385.09,0.0
2019-02-12 22:00:00,381.25,0.0
2019-02-13 22:00:00,381.25,0.0
