,LVS,LVS_returns
2018-10-31,285.32,0.0
2018-11-30,270.73,0.0
2018-12-31,283.71,0.0468305754256038
2019-01-31,300.34,0.056962576556604146
2019-02-28,287.34,0.0
2019-03-31,282.46,0.0
2019-04-30,278.1,0.0
2019-05-31,296.66,0.06460594065554706
2019-06-30,286.61,0.0
2019-07-31,310.9,0.08134891044403196
2019-08-31,317.39,0.020659984545139155
2019-09-30,341.46,0.07309924023324024
2019-10-31,343.76,0.006713197623652143
2019-11-30,341.87,0.0
2019-12-31,336.87,0.0
2020-01-31,333.3,0.0
2020-02-29,333.38,0.00023999520124777448
2020-03-31,296.07,0.0
2020-04-30,286.48,0.0
2020-05-31,283.54,0.0
2020-06-30,286.67,0.010978521729331317
2020-07-31,281.42,0.0
2020-08-31,277.7,0.0
2020-09-30,264.98,0.0
