,THA,THA_returns
2018-10-31,367.9,0.013353232944897115
2018-11-30,358.33,0.0
2018-12-31,365.03,0.018525192460948855
2019-01-31,375.54,0.02838544817891111
2019-02-28,385.02,0.024930290825813797
2019-03-31,395.96,0.028017915061127694
2019-04-30,407.49,0.02870319645090245
2019-05-31,396.3,0.0
2019-06-30,383.41,0.0
2019-07-31,385.85,0.006343780211759623
2019-08-31,378.56,0.0
2019-09-30,407.03,0.07251231200982897
2019-10-31,437.51,0.0722126698794547
2019-11-30,433.9,0.0
2019-12-31,444.29,0.023663409569387086
2020-01-31,453.2,0.019856026780159228
2020-02-29,454.81,0.003546220167699529
2020-03-31,443.17,0.0
2020-04-30,458.0,0.032915740502836556
2020-05-31,467.49,0.02050877401144788
2020-06-30,502.09,0.07140142836536942
2020-07-31,501.42,0.0
2020-08-31,496.68,0.0
2020-09-30,501.16,0.008979455828710708
