,PLF,SYO,ZVQ,OOS,CIS,ERQ
2019-08-29 21:00:00,158.9,189.72,572.63,113.87,161.26,244.69
2019-09-01 21:00:00,158.9,188.81,575.16,113.87,161.58,244.69
2019-09-02 21:00:00,155.76,189.21,575.4,117.27,161.92,244.69
2019-09-03 21:00:00,155.76,187.07,565.07,117.14,160.55,244.69
2019-09-04 21:00:00,155.76,186.3,548.0,116.78,161.26,244.69
2019-09-05 21:00:00,154.87,185.65,555.92,116.78,160.45,245.87
2019-09-08 21:00:00,154.87,185.99,561.41,117.54,160.45,245.87
2019-09-09 21:00:00,154.87,185.85,561.41,118.09,160.45,245.87
2019-09-10 21:00:00,153.61,184.84,561.41,118.11,161.08,245.87
2019-09-11 21:00:00,153.98,184.54,561.41,117.51,161.44,245.87
2019-09-12 21:00:00,156.14,184.25,554.69,119.28,158.82,245.87
2019-09-15 21:00:00,156.14,184.32,572.01,119.28,161.67,245.87
2019-09-16 21:00:00,155.93,184.06,579.1,119.48,162.66,245.87
2019-09-17 21:00:00,155.93,182.98,584.51,115.43,162.76,245.87
2019-09-18 21:00:00,155.93,182.77,588.4,115.47,163.12,245.87
2019-09-19 21:00:00,155.93,183.91,588.4,115.27,163.46,245.87
2019-09-22 21:00:00,155.93,183.75,588.4,115.27,163.95,247.01
2019-09-23 21:00:00,155.93,184.75,588.4,115.43,164.85,247.01
2019-09-24 21:00:00,154.42,185.02,586.93,115.4,163.36,247.01
2019-09-25 21:00:00,154.42,184.25,582.21,115.4,163.36,247.01
2019-09-26 21:00:00,154.42,183.36,579.65,113.85,165.98,247.01
2019-09-29 21:00:00,154.42,185.23,578.08,114.96,167.59,247.01
2019-09-30 21:00:00,155.16,183.94,586.47,114.6,169.12,247.01
2019-10-01 21:00:00,155.68,182.52,586.47,113.6,170.24,247.01
2019-10-02 21:00:00,155.68,183.97,586.47,114.13,168.65,247.01
2019-10-03 21:00:00,156.45,185.23,586.47,114.38,167.74,247.01
2019-10-06 21:00:00,156.45,185.17,586.47,114.19,167.74,247.01
2019-10-07 21:00:00,156.71,184.4,585.42,113.43,168.65,247.01
2019-10-08 21:00:00,156.71,183.4,590.46,113.02,170.59,247.01
2019-10-09 21:00:00,156.71,184.49,588.01,111.65,166.88,247.01
2019-10-10 21:00:00,158.0,185.24,564.36,111.16,165.96,247.01
2019-10-13 21:00:00,158.0,185.2,561.99,111.16,165.96,247.01
2019-10-14 21:00:00,158.77,186.5,550.11,111.46,166.4,247.01
2019-10-15 21:00:00,158.93,186.4,559.58,111.58,167.54,247.01
2019-10-16 21:00:00,158.93,186.21,557.3,111.18,165.77,247.01
2019-10-17 21:00:00,161.23,185.14,556.06,111.18,165.77,247.01
2019-10-20 21:00:00,161.23,184.04,562.27,111.18,165.77,247.01
2019-10-21 21:00:00,161.23,183.56,562.27,111.18,167.02,247.01
2019-10-22 21:00:00,161.23,182.53,562.59,110.75,167.55,247.01
2019-10-23 21:00:00,161.23,182.54,565.62,110.0,165.74,247.01
2019-10-24 21:00:00,161.89,182.34,565.62,110.6,165.74,247.01
2019-10-27 21:00:00,161.89,182.63,566.51,110.6,165.45,247.01
2019-10-28 21:00:00,162.2,182.95,569.21,111.23,167.0,247.01
2019-10-29 21:00:00,162.2,183.09,567.47,109.8,167.9,247.01
2019-10-30 21:00:00,162.2,182.34,573.31,113.29,168.07,247.01
2019-10-31 21:00:00,162.74,180.74,572.36,112.13,168.07,247.01
2019-11-03 22:00:00,162.74,179.65,574.49,112.13,167.99,247.01
2019-11-04 22:00:00,162.86,180.65,574.49,112.55,169.7,247.01
2019-11-05 22:00:00,162.21,180.62,575.31,112.01,169.16,247.01
2019-11-06 22:00:00,162.21,179.79,573.56,116.02,169.57,247.01
2019-11-07 22:00:00,162.21,180.74,573.31,116.36,170.03,247.01
2019-11-10 22:00:00,162.21,178.36,574.77,116.86,169.42,247.01
2019-11-11 22:00:00,162.21,177.08,574.77,116.29,169.42,247.01
2019-11-12 22:00:00,163.47,177.03,574.29,115.87,169.42,247.01
2019-11-13 22:00:00,163.47,177.35,568.59,116.16,169.55,247.01
2019-11-14 22:00:00,163.47,177.99,573.91,116.17,169.72,247.01
2019-11-17 22:00:00,163.47,176.47,572.27,116.17,169.48,247.01
2019-11-18 22:00:00,163.55,176.25,569.31,115.2,169.44,247.01
2019-11-19 22:00:00,163.55,175.9,568.12,114.34,169.56,247.01
2019-11-20 22:00:00,163.55,175.83,567.31,114.21,169.8,247.01
2019-11-21 22:00:00,163.75,175.29,567.42,113.57,170.01,247.01
2019-11-24 22:00:00,163.75,176.55,566.26,113.57,169.23,247.01
2019-11-25 22:00:00,163.55,176.96,565.86,113.56,169.25,247.01
2019-11-26 22:00:00,165.8,177.55,566.46,111.45,170.23,247.01
2019-11-27 22:00:00,165.8,177.34,564.28,111.19,169.91,247.01
2019-11-28 22:00:00,165.8,176.06,563.68,114.03,170.07,247.01
2019-12-01 22:00:00,165.8,178.18,559.2,114.81,170.57,247.01
2019-12-02 22:00:00,163.74,180.6,561.81,117.18,170.88,247.01
2019-12-03 22:00:00,165.84,179.79,551.1,117.18,170.36,247.01
2019-12-04 22:00:00,165.84,179.68,543.76,117.18,167.47,247.01
2019-12-05 22:00:00,166.2,182.91,545.83,117.18,167.2,247.01
2019-12-08 22:00:00,166.2,181.45,547.54,117.18,166.3,247.01
2019-12-09 22:00:00,166.2,180.86,546.69,115.31,166.51,247.01
2019-12-10 22:00:00,166.2,180.0,549.53,116.73,166.51,247.01
2019-12-11 22:00:00,166.2,177.84,548.87,112.24,166.51,247.01
2019-12-12 22:00:00,166.2,177.3,552.68,117.61,166.51,247.01
2019-12-15 22:00:00,166.2,175.03,551.65,117.61,166.51,247.01
2019-12-16 22:00:00,166.27,175.07,556.79,117.61,166.51,247.01
2019-12-17 22:00:00,167.46,174.17,554.99,117.61,166.51,247.01
2019-12-18 22:00:00,167.46,173.06,549.81,117.32,166.92,247.01
2019-12-19 22:00:00,167.23,173.02,554.53,117.31,167.56,247.01
2019-12-22 22:00:00,167.23,173.43,551.6,117.24,168.25,247.01
2019-12-23 22:00:00,167.23,174.61,553.7,117.62,168.25,247.01
2019-12-25 22:00:00,167.23,175.5,556.06,119.77,168.25,247.01
2019-12-26 22:00:00,167.23,175.32,554.91,120.55,168.4,247.01
2019-12-29 22:00:00,167.23,175.78,552.93,120.55,168.65,247.01
2019-12-30 22:00:00,167.2,175.41,534.87,120.65,168.65,247.01
2020-01-01 22:00:00,168.03,178.34,543.43,120.65,168.65,247.01
2020-01-02 22:00:00,167.88,174.76,545.02,122.88,168.65,247.01
2020-01-05 22:00:00,167.88,174.74,547.58,122.88,165.77,247.01
2020-01-06 22:00:00,168.23,174.25,544.22,122.83,169.11,247.01
2020-01-07 22:00:00,169.27,176.63,541.49,127.22,170.59,247.01
2020-01-08 22:00:00,169.27,178.28,547.75,127.22,170.76,247.01
2020-01-09 22:00:00,169.41,178.26,547.75,127.22,171.09,247.01
2020-01-12 22:00:00,169.41,178.76,548.02,128.07,171.54,247.01
2020-01-13 22:00:00,169.41,178.29,548.16,128.19,172.0,247.01
2020-01-14 22:00:00,169.35,178.61,551.54,127.54,172.22,247.8
2020-01-15 22:00:00,169.31,178.92,553.7,125.92,172.22,248.2
2020-01-16 22:00:00,169.67,179.92,553.7,126.22,172.54,248.2
2020-01-19 22:00:00,169.67,180.37,553.7,125.28,172.82,248.2
2020-01-20 22:00:00,169.67,179.1,553.63,125.28,173.25,248.2
2020-01-21 22:00:00,170.38,179.36,553.59,127.33,171.39,248.2
2020-01-22 22:00:00,170.38,180.05,553.59,127.29,172.8,248.2
2020-01-23 22:00:00,171.24,180.56,553.63,128.47,172.8,248.2
2020-01-26 22:00:00,171.24,187.27,554.91,128.47,172.8,248.2
2020-01-27 22:00:00,169.58,189.89,561.16,128.47,172.91,248.2
2020-01-28 22:00:00,169.96,189.22,561.9,128.47,172.91,248.2
2020-01-29 22:00:00,169.96,193.61,564.72,129.48,172.91,248.2
2020-01-30 22:00:00,169.96,195.84,559.05,130.71,172.91,249.0
2020-02-02 22:00:00,169.96,193.41,566.15,132.12,172.38,249.0
2020-02-03 22:00:00,170.26,198.58,567.44,131.65,172.52,249.0
2020-02-04 22:00:00,170.79,199.48,568.12,129.05,173.05,249.0
2020-02-05 22:00:00,170.79,200.21,567.23,129.05,173.05,249.0
2020-02-06 22:00:00,170.83,199.88,567.3,128.89,172.86,249.0
2020-02-09 22:00:00,170.83,200.34,567.66,128.89,173.42,249.0
2020-02-10 22:00:00,171.04,200.39,566.87,128.55,173.42,249.0
2020-02-11 22:00:00,171.04,201.05,573.56,128.55,173.8,249.0
2020-02-12 22:00:00,171.04,199.86,574.87,127.13,173.11,249.0
2020-02-13 22:00:00,171.04,200.2,576.39,127.61,174.66,249.0
2020-02-16 22:00:00,171.04,200.16,577.12,127.61,174.66,249.0
2020-02-17 22:00:00,171.85,199.44,577.52,128.21,174.21,250.94
2020-02-18 22:00:00,171.9,199.02,577.47,130.84,174.42,252.47
2020-02-19 22:00:00,171.69,198.99,574.5,131.07,173.8,253.6
2020-02-20 22:00:00,171.87,203.86,578.7,133.36,173.73,253.6
2020-02-23 22:00:00,171.87,210.89,578.7,132.64,173.73,253.6
2020-02-24 22:00:00,170.89,203.76,578.38,131.94,173.3,253.6
2020-02-25 22:00:00,171.29,201.37,580.31,132.61,172.91,253.6
2020-02-26 22:00:00,171.29,195.45,579.87,133.7,173.94,254.47
2020-02-27 22:00:00,171.29,196.95,576.59,130.87,173.94,254.47
2020-03-01 22:00:00,171.29,201.1,576.59,130.87,173.94,254.87
2020-03-02 22:00:00,172.36,202.07,576.59,130.73,173.94,254.87
2020-03-03 22:00:00,171.72,196.84,575.53,130.38,173.52,254.87
2020-03-04 22:00:00,171.72,202.11,576.36,131.98,171.91,254.87
2020-03-05 22:00:00,174.04,205.64,573.73,134.76,171.91,254.98
2020-03-08 21:00:00,174.04,214.57,571.51,134.76,171.91,256.41
2020-03-09 21:00:00,173.16,213.32,573.74,134.76,170.45,256.41
2020-03-10 21:00:00,169.51,210.58,573.53,134.76,171.74,256.41
2020-03-11 21:00:00,169.51,220.27,568.23,131.81,168.45,256.41
2020-03-12 21:00:00,169.51,219.26,561.73,134.29,168.45,256.41
2020-03-15 21:00:00,169.51,210.68,562.86,133.52,168.45,256.41
2020-03-16 21:00:00,171.09,210.76,557.96,133.52,170.17,256.41
2020-03-17 21:00:00,169.94,207.35,549.4,133.52,170.59,256.41
2020-03-18 21:00:00,169.73,207.23,549.64,133.52,170.59,256.41
2020-03-19 21:00:00,163.35,207.54,551.26,133.52,171.63,256.41
2020-03-22 21:00:00,163.35,207.74,552.6,134.24,171.63,256.41
2020-03-23 21:00:00,161.98,210.28,552.6,134.4,171.63,256.41
2020-03-24 21:00:00,162.76,209.27,553.03,134.4,173.24,256.41
2020-03-25 21:00:00,162.76,212.53,552.95,134.4,173.24,256.41
2020-03-26 21:00:00,163.6,210.1,552.95,134.4,172.77,256.41
2020-03-29 21:00:00,163.6,211.57,552.95,134.4,174.95,256.41
2020-03-30 21:00:00,161.47,211.2,552.95,134.4,174.95,256.41
2020-03-31 21:00:00,160.48,209.77,553.19,134.4,175.56,256.41
2020-04-01 21:00:00,161.62,208.71,552.64,136.09,175.56,256.41
2020-04-02 21:00:00,161.62,209.58,552.54,137.74,176.33,256.41
2020-04-05 21:00:00,161.62,210.09,552.54,139.13,175.46,256.41
2020-04-06 21:00:00,160.69,209.58,553.1,139.13,176.64,256.41
2020-04-07 21:00:00,160.1,211.05,552.91,139.13,176.64,256.41
2020-04-08 21:00:00,160.79,211.79,552.23,140.62,175.11,251.43
2020-04-09 21:00:00,161.22,211.77,552.19,140.62,175.3,250.58
2020-04-12 21:00:00,161.22,213.11,551.81,140.62,174.54,248.83
2020-04-13 21:00:00,162.23,215.61,549.93,140.7,167.37,245.16
2020-04-14 21:00:00,156.88,214.65,551.28,140.7,172.12,251.51
2020-04-15 21:00:00,156.88,213.55,551.71,140.7,172.12,251.51
2020-04-16 21:00:00,156.88,213.65,552.09,140.7,172.53,251.51
