,NFLX,KHC,GS,USB,CMCSA,COF,DIS,CAT,TTWO,SPGI,D,GWW,KMB,OXY,CVX,CI,CMI,UNP,TWTR,ADI
NFLX,1.0,-0.10356558830910288,0.058513600821144075,-0.6988777340897184,0.19948234072850343,-0.5093114532764358,-0.0977754146151464,0.3640237842208887,0.6805022422456133,0.774489446563416,0.41006266754680826,0.542482611509336,0.6452236179717386,-0.7028635091525991,-0.6731281513201781,-0.0584592058128729,0.678719941825224,0.5973361133897608,0.2233729736902324,0.5246849756572567
KHC,-0.10356558830910288,1.0,-0.054345132082224204,0.02045713547126053,-0.492724175617225,-0.03294691199365935,-0.3208368722468643,0.04471286579165777,-0.08374461358366128,-0.3898376646971398,-0.5193268697630142,0.09513408035911129,-0.55985752007799,0.45089731096268787,0.07272601362145774,0.547210694084877,-0.21240795280797503,-0.2756676618170216,-0.17889829173122976,-0.5275365380012081
GS,0.058513600821144075,-0.054345132082224204,1.0,0.5473163326371976,0.722798961205688,0.6992414835931332,0.7571252415448163,0.6474962838810091,0.2889314191111927,0.3766040282479976,0.508385112571806,0.5547224549416281,0.35602620029319704,0.046092999898473666,0.3643461777934637,0.3347537100931421,0.5060274970632106,0.647157220868555,0.3536522585313001,0.6079782783597384
USB,-0.6988777340897184,0.02045713547126053,0.5473163326371976,1.0,0.3543713588513373,0.9319265534874281,0.6641464331977984,0.24485402317306865,-0.4526787062090632,-0.4440277251650297,-0.0912383577524451,-0.06611090506671055,-0.3133162198033222,0.6911434258610313,0.8808799849007044,0.1125000738548091,-0.1370048931593973,0.04159995000654146,0.14006543453430054,0.02916476970329579
CMCSA,0.19948234072850343,-0.492724175617225,0.722798961205688,0.3543713588513373,1.0,0.5132970849870391,0.8263050114486536,0.6494157454477367,0.4738011110198528,0.5882828066799455,0.6672790899334662,0.5676124034526545,0.6947632271852052,-0.27212159185352763,0.1680895632544416,-0.1945191465751253,0.7372070576874322,0.812145857171747,0.6525759705115176,0.7927514015372777
COF,-0.5093114532764358,-0.03294691199365935,0.6992414835931332,0.9319265534874281,0.5132970849870391,1.0,0.7726132097828985,0.39958853926126875,-0.29748463268686126,-0.24620082557254222,0.10674431214217056,0.11283270833510484,-0.12503529097785454,0.5629821313727222,0.7849787187563347,0.16863008922946934,0.058370233169248595,0.2687155242609729,0.2773054715661307,0.19494673499549625
DIS,-0.0977754146151464,-0.3208368722468643,0.7571252415448163,0.6641464331977984,0.8263050114486536,0.7726132097828985,1.0,0.5488819054976309,0.18520431922876207,0.2555695300950852,0.4131347470781337,0.3266598315668223,0.402742919865666,0.0777051295595715,0.518316315748477,-0.05647434089262381,0.4802124821691425,0.6270240017008291,0.5000467716370393,0.5884613359082072
CAT,0.3640237842208887,0.04471286579165777,0.6474962838810091,0.24485402317306865,0.6494157454477367,0.39958853926126875,0.5488819054976309,1.0,0.38497021641709356,0.4501905803588638,0.4262170387826006,0.8449926822314648,0.39708764852545025,-0.1066827784330117,0.052452549301632706,0.15424398809271808,0.8062097231477406,0.8206513343273453,0.357534549903365,0.5992984426778158
TTWO,0.6805022422456133,-0.08374461358366128,0.2889314191111927,-0.4526787062090632,0.4738011110198528,-0.29748463268686126,0.18520431922876207,0.38497021641709356,1.0,0.8649299254862444,0.5508292419117357,0.6549096635003316,0.7955200619725126,-0.7610791283132483,-0.5760122730250835,0.022359865859399062,0.7531878217398286,0.5953417600609675,0.4213102871105364,0.5191660448661676
SPGI,0.774489446563416,-0.3898376646971398,0.3766040282479976,-0.4440277251650297,0.5882828066799455,-0.24620082557254222,0.2555695300950852,0.4501905803588638,0.8649299254862444,1.0,0.7992543598071515,0.6746579276088536,0.928904695721891,-0.8603561507619217,-0.5636372553665822,0.0028081477938027444,0.816569754242631,0.7375657596716615,0.32580883896852725,0.7707123769063323
D,0.41006266754680826,-0.5193268697630142,0.508385112571806,-0.0912383577524451,0.6672790899334662,0.10674431214217056,0.4131347470781337,0.4262170387826006,0.5508292419117357,0.7992543598071515,1.0,0.5616563295258661,0.8241940271978759,-0.6445160952826243,-0.24388739163804385,0.13314157598261472,0.6504221169750521,0.6314266970980305,0.18679078916491407,0.7547686883770793
GWW,0.542482611509336,0.09513408035911129,0.5547224549416281,-0.06611090506671055,0.5676124034526545,0.11283270833510484,0.3266598315668223,0.8449926822314648,0.6549096635003316,0.6746579276088536,0.5616563295258661,1.0,0.5624066158414069,-0.3778932834445016,-0.2390209638890654,0.2623093125726321,0.8597419144568116,0.7897148114232341,0.33044260750773724,0.6137691191476403
KMB,0.6452236179717386,-0.55985752007799,0.35602620029319704,-0.3133162198033222,0.6947632271852052,-0.12503529097785454,0.402742919865666,0.39708764852545025,0.7955200619725126,0.928904695721891,0.8241940271978759,0.5624066158414069,1.0,-0.8065584000677852,-0.42454902357327307,-0.15432386006142862,0.7792362659199517,0.7238795418659053,0.41664102249655033,0.790205339052256
OXY,-0.7028635091525991,0.45089731096268787,0.046092999898473666,0.6911434258610313,-0.27212159185352763,0.5629821313727222,0.0777051295595715,-0.1066827784330117,-0.7610791283132483,-0.8603561507619217,-0.6445160952826243,-0.3778932834445016,-0.8065584000677852,1.0,0.8061438274280239,0.11321174322778867,-0.5709658404904436,-0.39928082143464794,-0.05890398210550554,-0.47946069727125207
CVX,-0.6731281513201781,0.07272601362145774,0.3643461777934637,0.8808799849007044,0.1680895632544416,0.7849787187563347,0.518316315748477,0.052452549301632706,-0.5760122730250835,-0.5636372553665822,-0.24388739163804385,-0.2390209638890654,-0.42454902357327307,0.8061438274280239,1.0,0.027530584189190452,-0.2837785479818563,-0.08998883570118321,0.08549817274518083,-0.040433096414005755
CI,-0.0584592058128729,0.547210694084877,0.3347537100931421,0.1125000738548091,-0.1945191465751253,0.16863008922946934,-0.05647434089262381,0.15424398809271808,0.022359865859399062,0.0028081477938027444,0.13314157598261472,0.2623093125726321,-0.15432386006142862,0.11321174322778867,0.027530584189190452,1.0,-0.0614601612309887,-0.05250400898143041,-0.3859250512633207,-0.12746454617163547
CMI,0.678719941825224,-0.21240795280797503,0.5060274970632106,-0.1370048931593973,0.7372070576874322,0.058370233169248595,0.4802124821691425,0.8062097231477406,0.7531878217398286,0.816569754242631,0.6504221169750521,0.8597419144568116,0.7792362659199517,-0.5709658404904436,-0.2837785479818563,-0.0614601612309887,1.0,0.9179345271667937,0.4699683327817961,0.7854156229422
UNP,0.5973361133897608,-0.2756676618170216,0.647157220868555,0.04159995000654146,0.812145857171747,0.2687155242609729,0.6270240017008291,0.8206513343273453,0.5953417600609675,0.7375657596716615,0.6314266970980305,0.7897148114232341,0.7238795418659053,-0.39928082143464794,-0.08998883570118321,-0.05250400898143041,0.9179345271667937,1.0,0.570950165126407,0.8285235289444072
