,NFLX,KHC,GS,USB,CMCSA,COF,DIS,CAT,TTWO,SPGI,D,GWW,KMB,OXY,CVX,CI,CMI,UNP,TWTR,ADI
NFLX,1.0,-0.09023424134746971,0.056602632256998686,-0.703121390973482,0.18790024342488573,-0.5329607812788046,-0.11445035879317678,0.35245792665764103,0.6689225632932315,0.7683376365749688,0.39770268852297425,0.5397798593380505,0.6291379143485117,-0.6858753646575406,-0.6537413076008916,-0.04601678549020233,0.6669300182829152,0.5792774899487977,0.19700124517261774,0.5143767848492756
KHC,-0.09023424134746971,1.0,-0.01665837883599577,0.038283036602579895,-0.48900314218398655,-0.004317079743682851,-0.3140151906114363,0.05824916887753177,-0.08437249398887534,-0.377649973392825,-0.5129705519030469,0.10180576309601352,-0.5731457981603998,0.4608212234940167,0.08038827915892445,0.5657958297532095,-0.2116835000789724,-0.2527127354550324,-0.17984622025027797,-0.5276214788911625
GS,0.056602632256998686,-0.01665837883599577,1.0,0.5420066484682456,0.6926433523137007,0.6862597784081619,0.7361338368518809,0.6561785394497639,0.291477096409092,0.38795931339774736,0.5029301890100731,0.5585854904791214,0.34064393768717605,0.05684150503028238,0.37509155518804266,0.3579748469258976,0.5040305931751007,0.6390037200104901,0.34108300876437336,0.593069663493234
USB,-0.703121390973482,0.038283036602579895,0.5420066484682456,1.0,0.34020269144854437,0.9373696474213832,0.6566293916858494,0.26537437476121983,-0.4495801458269479,-0.43370490823002844,-0.08676866722956644,-0.06462383999746965,-0.3134382129630539,0.6934939022918705,0.8831664078430611,0.11004222618614093,-0.1323057620608581,0.05653438511499714,0.15053498321656358,0.020237663729870528
CMCSA,0.18790024342488573,-0.48900314218398655,0.6926433523137007,0.34020269144854437,1.0,0.48121230526444964,0.8147451245804762,0.6448707833061251,0.47731836396458105,0.5958161116893756,0.660029212395596,0.5557448939497582,0.6960424214009346,-0.27497673725721894,0.16987703013474334,-0.21112960782609483,0.7377947772539564,0.7988349452874991,0.6644259730730439,0.7867098600063511
COF,-0.5329607812788046,-0.004317079743682851,0.6862597784081619,0.9373696474213832,0.48121230526444964,1.0,0.7529590000458921,0.39914746231814396,-0.3059099812635217,-0.24877412498952386,0.09837091151213542,0.09415841053498542,-0.14642160389234307,0.5784101101749702,0.7979735361168139,0.17667606125240454,0.043287818138868485,0.25645376488577176,0.2718574534808747,0.16661602946459828
DIS,-0.11445035879317678,-0.3140151906114363,0.7361338368518809,0.6566293916858494,0.8147451245804762,0.7529590000458921,1.0,0.5545375731234767,0.19237692722273672,0.2676987260812173,0.4079271632351961,0.3152361423645825,0.40398813867989675,0.06760661274997674,0.5138883930171652,-0.06481872600885155,0.4837813627411524,0.6263888799174885,0.5045044174838562,0.5832177938360774
CAT,0.35245792665764103,0.05824916887753177,0.6561785394497639,0.26537437476121983,0.6448707833061251,0.39914746231814396,0.5545375731234767,1.0,0.37972226966817174,0.45394354176316104,0.4060852395574196,0.8305441015624108,0.380658611029162,-0.07802762477802613,0.10305545371237838,0.16187596067107934,0.7960777697734768,0.8192761189900277,0.3497265550422468,0.593959010481598
TTWO,0.6689225632932315,-0.08437249398887534,0.291477096409092,-0.4495801458269479,0.47731836396458105,-0.3059099812635217,0.19237692722273672,0.37972226966817174,1.0,0.8603789620788262,0.5372934900102727,0.6458359200317164,0.7787650287260884,-0.7513108529307707,-0.5620171296967994,0.02948674844062859,0.7457685156388828,0.5815887862966976,0.40622772697505816,0.5104573697606529
SPGI,0.7683376365749688,-0.377649973392825,0.38795931339774736,-0.43370490823002844,0.5958161116893756,-0.24877412498952386,0.2676987260812173,0.45394354176316104,0.8603789620788262,1.0,0.7926331042171514,0.6871708661069457,0.9228435696542773,-0.8447254524709904,-0.5334766304216995,0.011403703894166806,0.82452743389082,0.7373245954161043,0.3290845940377982,0.7817843974454172
