,NFLX,KHC,GS,USB,CMCSA,COF,DIS,CAT,TTWO,SPGI,D,GWW,KMB,OXY,CVX,CI,CMI,UNP,TWTR,ADI
NFLX,1.0,-0.11067645680058562,0.050477092721608184,-0.7567659871919084,0.33544988612806553,-0.5585238454733484,-0.11974412641894712,0.5071416775262814,0.7213689408921194,0.8179473649775076,0.4842662797045079,0.6678539833431206,0.6906092012235833,-0.7610589719401966,-0.7668131441230843,-0.12346973921474748,0.7859743072354656,0.7017082851920977,0.32496255900508686,0.6021245420454648
KHC,-0.11067645680058562,1.0,0.006354470429890857,0.03341112966225251,-0.36830342825370127,-0.005954760605053169,-0.3061121467598012,0.03767431823709264,0.014708197191338526,-0.33654110831404327,-0.4890232591661288,0.1402844271037272,-0.5131743217771907,0.4029583585877737,0.057967723830939843,0.6517399412747811,-0.17206718593704687,-0.27519486988437986,-0.08669287947414289,-0.47874139670829774
GS,0.050477092721608184,0.006354470429890857,1.0,0.4785737402475817,0.705199343582521,0.6650148473858778,0.7232892522591562,0.4827220420244214,0.327899874550486,0.3373465696869538,0.5165013648382164,0.455017052302159,0.34371166134368053,-0.015438663003458229,0.25248668299110383,0.14510349926602484,0.43327746714735316,0.5769041570139596,0.4002391906399116,0.5252992328053059
USB,-0.7567659871919084,0.03341112966225251,0.4785737402475817,1.0,0.20709553434731837,0.9229562234766409,0.6251921386699311,0.037866108257961044,-0.49966679823471805,-0.5455468144279291,-0.1793592633826018,-0.25380628145308054,-0.38364415533975027,0.709813712560135,0.879345618149759,0.02246953686378535,-0.313251579915372,-0.13606764018983963,0.050344641712516194,-0.12236282018866965
CMCSA,0.33544988612806553,-0.36830342825370127,0.705199343582521,0.20709553434731837,1.0,0.40032913654959595,0.7594863367425768,0.6558886572853134,0.5770718892272344,0.6278257813493764,0.6943959814076677,0.6224242985620645,0.7361735366806443,-0.36465195843711545,-0.005109757264975001,-0.3555840623741351,0.7717002169688848,0.8260727200987505,0.6898806201319648,0.7612600600045457
COF,-0.5585238454733484,-0.005954760605053169,0.6650148473858778,0.9229562234766409,0.40032913654959595,1.0,0.7389593792730792,0.22327180209698722,-0.3341621391250628,-0.3409527817042312,0.03211170238819627,-0.052635027227858115,-0.20339505071977362,0.5735018300686618,0.7578936959460681,0.033768301433096955,-0.09533482807832604,0.11267584653781251,0.2118952293418396,0.05297078204704614
DIS,-0.11974412641894712,-0.3061121467598012,0.7232892522591562,0.6251921386699311,0.7594863367425768,0.7389593792730792,1.0,0.41267302783813775,0.15812647166037358,0.18978374258518876,0.4021380699876043,0.2161080492671121,0.3726499483676062,0.04581890300695629,0.4549664961699963,-0.23218814675257962,0.36896743709420404,0.532345689450158,0.4755295568891577,0.49996727221492315
CAT,0.5071416775262814,0.03767431823709264,0.4827220420244214,0.037866108257961044,0.6558886572853134,0.22327180209698722,0.41267302783813775,1.0,0.4717189806069148,0.482188246775369,0.44931482675317413,0.8458349405287723,0.4683823691035717,-0.2591461348384348,-0.19053828118510588,-0.0017513668165475744,0.8198519440995116,0.8113732068547922,0.4553935094382306,0.5930361711677979
TTWO,0.7213689408921194,0.014708197191338526,0.327899874550486,-0.49966679823471805,0.5770718892272344,-0.3341621391250628,0.15812647166037358,0.4717189806069148,1.0,0.8595240458334495,0.58280619136187,0.7504181415600255,0.786314594861682,-0.7716717631393541,-0.6634228904898083,-0.008588652568063302,0.7957590233812233,0.6491481046108357,0.5006931275852915,0.5270415425946163
SPGI,0.8179473649775076,-0.33654110831404327,0.3373465696869538,-0.5455468144279291,0.6278257813493764,-0.3409527817042312,0.18978374258518876,0.482188246775369,0.8595240458334495,1.0,0.8356510485415665,0.7228659808350558,0.9398833401971172,-0.9015902471396066,-0.6610949379189267,-0.0965671318373238,0.8585016700858131,0.7717223070044456,0.33778834370957234,0.7827355755653757
